WAGNER,wagner-seahawks,Wagner
STPETE,st-peters-peacocks,St. Peter&#039;s
MTSU,middle-tenn-blue-raiders,Middle Tenn.
WOFF,wofford-terriers,Wofford
TEXST,texas-statesan-marcos-bobcats,Texas St.
TEXSO,texas-so-tigers,Texas So.
MISS,ole-miss-rebels,Ole Miss
MOST,missouri-state-bears,Missouri St.
SCST,south-carolina-state-bulldogs,SC State
UK,kentucky-wildcats,Kentucky
CHARLS,college-of-charleston-cougars,Charleston
SACHRT,sacred-heart-pioneers,Sacred Heart
NEB,nebraska-cornhuskers,Nebraska
MNTNA,montana-grizzlies,Montana
SDGST,san-diego-state-aztecs,San Diego St
CHARLO,charlotte-49ers,Charlotte
SILL,southern-illinois-salukis,S. Illinois
NH,new-hamp-wildcats,New Hamp.
ALBANY,albany-great-danes,Albany
SELOU,southeastern-louisiana-lions,SE Louisiana
CINCY,cincinnati-bearcats,Cincinnati
ND,notre-dame-fighting-irish,Notre Dame
ODU,old-dominion-monarchs,Old Dominion
GRAM,grambling-tigers,Grambling
ETNST,e-tennessee-state-buccaneers,ETSU
WICHST,wichita-state-shockers,Wichita St.
MINN,minnesota-golden-gophers,Minnesota
MIAMI,miami-fla-hurricanes,Miami (Fla.)
CORN,cornell-big-red,Cornell
MEMP,memphis-tigers,Memphis
COLOST,colorado-state-rams,Colorado St.
ARIZST,arizona-state-sun-devils,Arizona St.
USD,san-diego-toreros,San Diego
USC,southern-california-trojans,USC
USM,southern-miss-golden-eagles,So. Miss
YOUNG,youngstown-state-penguins,Youngstown St.
UNLV,unlv-rebels,UNLV
CIT,the-citadel-bulldogs,The Citadel
ROBERT,robert-morris-colonials,Robert Morris
EMICH,eastern-michigan-eagles,E. Michigan
WRIGHT,wright-state-raiders,Wright St.
OHIO,ohio-bobcats,Ohio
ARKLR,little-rock-trojans,Little Rock
AF,air-force-falcons,Air Force
WISC,wisconsin-badgers,Wisconsin
HOW,howard-bison,Howard
TROY,troy-trojans,Troy
HOU,houston-cougars,Houston
WAKE,wake-forest-demon-deacons,Wake Forest
NCST,nc-state-wolfpack,NC State
CLEVST,cleveland-state-vikings,Clev. St.
CCTST,central-connecticut-state-blue-devils,CCSU
BRAD,bradley-braves,Bradley
NKY,northern-kentucky-norse,N. Kentucky
UCIRV,uc-irvine-anteaters,UC Irvine
